Course,Description,Full,Instructor,Days,Time,Location,Capacity
TMP     127  ,MANAGING TECH ORGS,,ZACKRISON E J,TWR,8:00 am - 9:15 am,PHELP2536,31 / 40
TMP     127  ,MANAGING TECH ORGS,,MCKEE K D,M W F,2:00pm - 3:15pm,PHELP2536,8 / 30
THTR      2C ,PRF GLOB:EUROPE,,MORTON C,MTWR,11:00am - 12:20pm,HSSB 1174,58 / 66
THTR      5  ,INTRO TO ACTING,,"['PLASENCIA M', 'APPEL I J']",MTW,2:00pm - 4:20pm,HSSB 1143,16 / 18
THTR      5  ,INTRO TO ACTING,Full,"['VALENCIA RAMI', 'APPEL I J']",MTW,2:00pm - 4:20pm,HSSB 1143,16 / 13
THTR W   19  ,DESIGN DANCE/THEATR,Full,SCOTT V,,,ONLINE,100 / 100
THTR     49  ,THEATER WORKSHOP,,T B A,,,T B A,0 / 20
THTR    144A ,SHAKESPEARE PROD,,APPEL I J,MTWRF,6:00pm - 11:00pm,TD-W 1507,17 / 25
THTR    144B ,SHAKESPEARE PROD,,APPEL I J,MTWRF,6:00pm - 11:00pm,TD-W 1507,17 / 25
THTR    146  ,LAUNCH PAD,,BRAININ R,TWRF,1:00pm - 5:00pm,TD-E 1101,6 / 15
THTR    146  ,,,,F,6:00pm - 10:00pm,TD-E 1101,6 / 15
THTR    149  ,THEATRE WORKSHOP,,T B A,,,T B A,0 / 20
THTR    194A ,GRP STD: ACT/DIRECT,,VALENCIA RAMI,MTWRF,10:00am - 12:50pm,TD-W 1507,3 / 10
THTR    199  ,INDEPENDENT STUDIES,,T B A,,,T B A,0 / 20
WRIT      1  ,APP TO UNIV WRIT,Full,SMITH K A,MTWR,12:30pm - 1:55pm,SSMS 1007,23 / 20
WRIT      1  ,APP TO UNIV WRIT,Full,GRUE M N,MTWR,10:00am - 11:25am,PHELP1517,24 / 20
WRIT      1  ,APP TO UNIV WRIT,Full,SMITH K A,MTWR,2:00pm - 3:25pm,HSSB 1211,25 / 20
WRIT      2  ,ACADEMIC WRITING,,DONELAN J H,MTWR,12:00pm - 1:25pm,HSSB 1223,17 / 25
WRIT      2  ,ACADEMIC WRITING,Full,MOORE K C,MTWR,11:00am - 12:25pm,HSSB 1210,25 / 25
WRIT      2  ,ACADEMIC WRITING,,FREDRICKSON N,MTWR,9:00 am - 10:25am,HSSB 1215,16 / 25
WRIT      2  ,ACADEMIC WRITING,,MCHUGH P,MTWR,1:00pm - 2:25pm,HSSB 1207,18 / 25
WRIT      2  ,ACADEMIC WRITING,Full,BROWN KARA,MTWR,2:00pm - 3:25pm,HSSB 1207,24 / 22
WRIT      2  ,ACADEMIC WRITING,Full,DONELAN J H,MTWR,9:30 am - 10:55am,LSB  1101,25 / 22
WRIT      2  ,ACADEMIC WRITING,Full,PATTERSON K A,MTWR,3:30pm - 4:55pm,SSMS 1007,25 / 22
WRIT      2  ,ACADEMIC WRITING,Full,PATTERSON K A,MTWR,5:00pm - 6:25pm,SSMS 1007,22 / 22
WRIT      2  ,ACADEMIC WRITING,Full,CHENOWETH R C,MTWR,12:30pm - 1:55pm,HSSB 1206,24 / 22
WRIT      2  ,ACADEMIC WRITING,,HARRIS-MOORE,MTWR,10:00am - 11:25am,HSSB 1223,19 / 25
WRIT      2  ,ACADEMIC WRITING,Full,BAILLARGEON K,MTWR,11:00am - 12:25pm,PHELP1529,25 / 22
WRIT      2  ,ACADEMIC WRITING,Full,SAUR E H,MTWR,8:00 am - 9:25 am,LSB  1101,24 / 22
WRIT      2  ,ACADEMIC WRITING,,RUTHERFORD K,MTWR,6:00pm - 7:25pm,LSB  1101,14 / 22
WRIT     50  ,WRIT & RSRCH PRCESS,Full,THOMAS C,MTW,2:00pm - 3:55pm,PHELP1517,25 / 25
WRIT    105C ,WRIT CREAT NONFICT,,MCHUGH P,T R,3:00pm - 5:05pm,HSSB 1214,22 / 25
WRIT    105G ,GRAMMAR STYLISTICS,Closed,COTICH C,T R,5:00pm - 7:05pm,HSSB 1223,17 / 25
WRIT    105M ,MULTIMEDIA WRITING,Full,FRANK D M,M W,2:00pm - 4:05pm,SH   1609,25 / 25
WRIT    105PD,WRIT PUB DISCOURSE,,MOORE K C,M W,3:30pm - 5:35pm,HSSB 1206,24 / 25
WRIT    105PS,WRIT PUB SPEAKING,Closed,COTICH C,T R,2:00pm - 4:05pm,HSSB 1223,18 / 25
WRIT    105R ,RHETORIC AND WRIT,,HARRIS-MOORE,M W,2:00pm - 4:05pm,HSSB 1227,20 / 25
WRIT    105R ,RHETORIC AND WRIT,Full,BAILLARGEON K,M W,2:00pm - 4:05pm,PHELP1529,25 / 25
WRIT    107B ,BUS ADMIN WRIT,Full,EK A A,MTW,9:30 am - 10:55am,HSSB 1236,25 / 25
WRIT    107B ,BUS ADMIN WRIT,,KRUT R M,T R,2:00pm - 4:05pm,HSSB 1211,24 / 25
WRIT    107B ,BUS ADMIN WRIT,,KRUT R M,T R,5:00pm - 7:05pm,HSSB 1211,24 / 25
WRIT    107B ,BUS ADMIN WRIT,Full,EK A A,MTW,8:00 am - 9:25 am,HSSB 1236,25 / 25
WRIT    107B ,BUS ADMIN WRIT,Full,GENOVA G L,M W,2:00pm - 4:05pm,HSSB 1237,25 / 25
WRIT    107B ,BUS ADMIN WRIT,Full,MURTI-HALI D,MTW,11:00am - 12:25pm,HSSB 1236,25 / 25
WRIT    107B ,BUS ADMIN WRIT,,JOHNSON J K,M W,2:00pm - 4:05pm,SH   1609,20 / 25
WRIT    107B ,BUS ADMIN WRIT,,KRUVAND M,MTW,12:30pm - 1:55pm,PHELP1529,17 / 25
WRIT    107G ,WRIT GLOBAL CAREERS,Full,MURTI-HALI D,MTW,9:30 am - 10:55am,HSSB 1227,25 / 25
WRIT    107J ,JOURNALISM WRIT,,KRUVAND M,MTW,9:30 am - 10:55am,SSMS 1005,14 / 25
WRIT    107M ,WRIT MAGAZINE,,WHITTET E O,MTW,11:00am - 12:25pm,HSSB 1215,23 / 25
WRIT W  107WC,ONLINE WRIT WEB,,BROWN KARA,,,ONLINE,23 / 25
WRIT W  107WC,ONLINE WRIT WEB,Full,BROWN KARA,,,ONLINE,25 / 25
WRIT    109F ,WRIT ABOUT FILM,,HUK P M,T R,2:00pm - 4:05pm,SSMS 1007,20 / 25
WRIT    109F ,WRIT ABOUT FILM,,HUK P M,T R,5:00pm - 7:05pm,SSMS 1007,24 / 25
WRIT    109F ,WRIT ABOUT FILM,Full,SAMUELS R D,M W,3:00pm - 5:05pm,OLDGM1211,25 / 25
WRIT    109HP,WRIT HEALTH PRFSSN,,MIZRAHI J L,M W,3:30pm - 5:35pm,SSMS 1005,18 / 25
WRIT    109ST,WRIT SCIENCE/TECH,Full,LUNSFORD K J,T R,2:00pm - 4:05pm,SSMS 1005,25 / 25
WRIT    199  ,IND STUDIES WRIT,,T B A,,,T B A,0 / 5
